,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
1194,28487,20 N Martingale Rd,Woodfield Preserve ll,175,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,Yes,No,No,No,,"1,968","1,968",$0.00,$4.00,N,,"1,968","1,968","53,436",$16.50,,,,9-11-2015,,,,,Vacant,,,,Yes,,CBRE,,,"342,179",Zeller Realty Group,,,
1208,4369,20 W Kinzie St,20 West Kinzie,,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Mixed-Use,,A,,Existing,Sublet,For Lease,,Coworking,,9th,No,No,No,No,No,,595,595,38.75,$42.75,,,595,595,"8,264",,,,,2-25-2019,,,,5-11-2019,Negotiable,,,,Yes,,WeWork,,,"258,658",Cornerstone Real Estate Advisers,,,
1220,4371,200 E Randolph St,AON Center,5162,Chicago,Illinois,60601,Chicago,CBD,East Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,51st,No,No,No,No,No,,737,737,$31.00,$35.00,Full Service Gross,,737,737,"34,533",$0.00,,,,8-1-2017,,,,,Negotiable,,,,Yes,,,,,"2,689,814",601W Companies,,,
1251,28489,200 Lakeview Pkwy,Parcel 54,,Vernon Hills,Illinois,60061,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,Shell Space,,1st,Yes,No,Yes,No,Yes,,"25,336","25,336",$31.00,$35.00,NNN,,"25,336","76,008","76,008",$18.00,,,,12-10-2001,,,,,TBD,,,,No,,,,,"76,008",Pacific Realty Associates,,,
1254,28491,200 N Martingale Rd,200 North Martingale,150,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"7,720","7,720",$25.25,$28.25,N,,"7,720","7,720","40,105",$13.50,,,,9-28-2016,,,,,Vacant,,,,Yes,,,,,"242,492",Sperry Commercial,,,
1260,4385,200 W Madison St,200 West Madison,200,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,2nd,No,No,No,No,No,,"19,367","19,367",$27.50,$29.50,Full Service Gross,,"19,367","19,367","22,660",$0.00,,,,8-4-2015,,9-1-2019,,3-1-2020,Specific Date,3-1-2020,,,Yes,,Transwestern,,,"1,066,900",Bentall Kennedy,,,
1290,28497,2000 Mcdonald Rd,,A,South Elgin,Illinois,60177,Chicago,Suburban,Northwest,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"1,244","1,244",$0.00,$2.00,NNN,,"1,244","1,244","1,790",$19.50,,,,3-11-2011,,,,,Vacant,,,,No,,,,,"32,000",Krz LLC,,,
1292,28502,2000 W AT&T Dr,2000 West AT&T,,Hoffman Estates,Illinois,60192,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,Yes,,"5,000","325,000",$27.56,$29.56,Full Service Gross,,"325,000","325,000","325,000",$0.00,,,,4-17-2019,,,,,Vacant,,,,Yes,,Colliers International,,,"1,300,000",InvenTrust Properties Corp.,,,
1296,28505,2001 Butterfield Rd,Esplanade I,194,Downers Grove,Illinois,60515,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,No,No,No,No,,838,838,$0.00,$2.00,Full Service Gross,,838,838,"18,145",$31.25,,,,8-8-2018,,,,,30 Days,,0.0,0.0,Yes,,Hamilton Partners,,,"501,552",Hamilton Partners,,,
1336,28506,2001 Lakewood Blvd,2001 Lakewood,100,Hoffman Estates,Illinois,60192,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"46,897","46,897",$0.00,$4.00,Full Service Gross,,"46,897","568,382","568,382",$0.00,,,,11-19-2015,,,,,Vacant,,,,Yes,,,,,"281,386",InvenTrust Properties Corp.,,,
1342,397440,2001 N Division St,,,Harvard,Illinois,60033,Chicago,Outer Suburbs,Far Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"81,470","81,470",47.17,$52.17,,,"81,470","407,347","407,347",,,,,3-1-2003,,,,,Vacant,,0.0,0.0,No,,Edward Hotel & Convention Center,,,"407,347",Edward Gong,,,
1347,28509,2001 Spring Rd,Commerce Plaza I,100,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"5,493","5,493",$26.43,$27.43,Full Service Gross,,"5,493","5,493","1,782",$0.00,$7.71,$1.81,,3-6-2018,,,,9-1-2018,Vacant,,0.0,0.0,Yes,,,,,"187,189",Zeller Realty Group,,,
1351,28510,2001 York Rd,2001 York Center Oak Brook,,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"16,785","16,785",$42.09,$43.09,N,,"16,785","163,254","163,254",$21.00,,,,8-23-2018,,,,,Negotiable,,0.0,0.0,Yes,,,,,"190,000",Pembroke IV LLC,,,
1356,28515,2015 Spring Rd,Commerce Plaza II,270,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,2nd,Yes,Yes,No,No,No,,"1,811","1,811",$23.50,$27.50,N,,"1,811","1,811","4,441",$24.00,$8.51,$2.90,$0.00,8-30-2018,,,,,Vacant,,24.0,60.0,Yes,,JLL,,,"168,000",Zeller Realty Group,,,
1364,397624,2017 N Mendell St,2017 N Mendell Street,100,Chicago,Illinois,60614,Chicago,Non-CBD,Clybourn Corridor,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Shell Space,,1st,Yes,Yes,Yes,No,Yes,,"3,800","17,618",$27.82,$31.82,Modified Gross,,"17,618","17,618","17,618",$33.75,,,,12-18-2015,,,,,Vacant,,,,Yes,,,,,"60,718",Baker Development Corporation,,,
1368,397527,202-210 N Genesee St,Academy Square,,Waukegan,Illinois,60085,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,Yes,,"1,500","21,071",$44.00,$49.00,Modified Gross,,"21,071","37,863","37,863",$12.00,,,,3-28-2017,,,,,Vacant,,0.0,0.0,No,,,,,"37,863",,,,
1370,28521,2021 Spring Rd,Commerce Plaza III,400,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,4th,No,No,No,No,No,,"10,027","10,027",$0.00,$5.00,,,"10,027","10,027",0,$0.00,,,,4-6-2018,,6-1-2018,,4-1-2019,Vacant,,0.0,0.0,Yes,,,,,"167,000",Zeller Realty Group,,,
1371,4440,203 N LaSalle St,203 North LaSalle,1300,Chicago,Illinois,60601,Chicago,CBD,Central Loop,,Office,Office,Condo,,A,,Existing,Direct,For Lease,,Full Build-Out,Average,13th,Yes,Yes,No,No,No,,"27,924","27,924",$29.64,$31.64,Full Service Gross,,"27,924","27,924","47,268",,,,,5-2-2019,,,,,Specific Date,5-1-2020,,,Yes,,Transwestern,,,"750,000",Sumitomo Mitsui Trust Bank,,,
1383,28524,2040 Calamos Ct,,,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,Shell Space,,1st,Yes,No,Yes,No,Yes,,"30,000","30,000",$30.00,$35.00,,,"30,000","180,000","180,000",$0.00,,,,9-1-2010,,,,,Negotiable,,,,No,,,,,"180,000","Calamos Asset Management, Inc.",,,
1389,28525,2040 Ogden Ave,Rush-Copley POB II,105/115,Aurora,Illinois,60504,Chicago,Suburban,Western East-West,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,Yes,,"1,000","4,113",$40.50,$42.50,,,"4,113","4,113","4,113",$0.00,,,,9-25-2009,,,,,Vacant,,,,No,,,,,"80,744",American Realty Capital,,,
1390,4456,205 N Michigan Ave,205 North Michigan,450,Chicago,Illinois,60601,Chicago,CBD,East Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,4th,Yes,Yes,No,No,No,,"9,837","9,837",$34.65,$36.65,Full Service Gross,,"9,837","9,837","23,358",$0.00,,,,1-23-2017,,,,,Vacant,,,,Yes,,,,,"975,895",Loeb Partners,,,
1426,28534,2056 Westings Ave,Westings Corporate Center,,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,CNCR,No,No,No,No,No,,"2,300","2,300",27,$32.00,,,,,"32,948",,,,,1-3-2019,,,,2-3-2019,,,,,Yes,,,,,"180,000",CBRE,,,
1435,28538,2088 Ogden Ave,Rush-Copley Heart Institute,230,Aurora,Illinois,60504,Chicago,Suburban,Western East-West,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"4,334","4,334",$35.33,$40.33,N,,"4,334","4,334","4,334",$20.00,,,,10-10-2013,,,,,Vacant,,,,No,,,,,"41,961",Heart Partners Llc,,,
1436,3160,21 S Clark St,Chase Tower,,Chicago,Illinois,60603,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,45th,Yes,No,Yes,No,No,,"27,000","27,000",,$1.00,Full Service Gross,,"27,000","27,000","27,000",$0.00,,,,11-15-2017,,,,,30 Days,,,,Yes,,,,,"1,904,229",JP Morgan Chase & Company,,,
1447,335610,210 N Carpenter St,210 N Carpenter,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,,,4th,No,No,No,No,Yes,,"23,000","102,434",$34.69,$35.69,N,,"102,434","102,434",0,$37.00,,,,8-15-2018,,12-1-2018,,4-1-2019,Specific Date,12-1-2018,0.0,1.0,Yes,,,,,"203,589",Sterling Bay,,,
1455,28542,2100 E Lake Cook Rd,Riverwalk II,100,Buffalo Grove,Illinois,60089,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"5,327","5,327",$28.00,$30.00,Full Service Gross,,"5,327","5,327","23,265",$0.00,,,,11-4-2010,,,,,Vacant,,,,Yes,,,,,"258,995","Accesso Partners, LLC",,,
1458,28546,2100 Sanders Rd,2100 Sanders,120,Northbrook,Illinois,60062,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"3,213","3,213",$17.00,$20.00,Modified Gross,,"3,213","3,213","16,538",$23.00,,,,4-17-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"106,167",Henley Management Company,,,
1466,4518,212 W Superior St,212 West Superior,222,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"5,756","5,756",$19.50,$24.50,Modified Gross,,,,"3,523",,,,,2-12-2019,,,,5-12-2019,Specific Date,,,,Yes,,Urban Innovations,,,"67,984",Urban Innovations,,,
1474,28557,2121 Waukegan Rd,Bannockburn Lakes V,135,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"2,070","2,070",$0.00,$4.00,Full Service Gross,,"2,070","2,070","36,286",,,,,2-7-2019,,,,,Specific Date,4-1-2019,,,Yes,,,,,"103,500",GlenStar Properties,,,
1482,28559,2124 Ogden Ave,Ogden Professional Center,2B,Aurora,Illinois,60504,Chicago,Suburban,Western East-West,,Office,Office,Medical,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,Yes,,"1,450","4,874",$24.00,$25.00,,,"4,874","12,667","12,667",$0.00,,,,7-9-2010,,,,,Vacant,,,,No,,,,,"42,000",Kishore N Belani,,,
1485,28562,2135 CityGate Ln,2135 CityGate,,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,,,,,1st,Yes,Yes,No,No,No,,,"12,002",$31.75,$34.75,Full Service Gross,,,"12,002","12,002",,,,,6-1-2018,,,,,Vacant,,,,Yes,,,,,"211,194","Calamos Real Estate, LLC",,,
1487,28563,21440 W Lake Cook Rd,The Reserve at Deer Park,500,Deer Park,Illinois,60010,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,,,,,5,Yes,Yes,No,No,No,,,"48,430",34.69,$39.69,,,,"48,430","48,430",,,,,6-20-2019,,,,,Vacant,,,,Yes,,,,,"351,425",90 North Real Estate Partners,,,
1493,335620,215 N Peoria St,Fulton East,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"5,025","5,025",$24.77,$26.77,N,,"5,025","5,025","84,840",,,,,12-15-2015,,,,,Specific Date,2-1-2020,,,Yes,,Fulton-East,,,"115,200",Bob Wislow,,,
1502,28564,215 Shuman Blvd,Park Plaza,172,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"13,542","13,542",$20.03,$24.03,NNN,,"13,542","13,542","22,846",$14.50,,,,7-26-2018,,1-1-2019,,,Specific Date,1-1-2019,0.0,0.0,Yes,,,,,"210,774","Accesso Partners, LLC",,,
1506,28565,215 W Diehl Rd,215 West Diehl,,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"33,500","33,500",$0.00,$1.00,Full Service Gross,,"33,500","33,500","33,500",$15.00,$5.41,$2.55,,7-14-2016,,,,,Specific Date,,,,Yes,,JLL,,,"196,777",Lone Star Funds,,,
1510,28566,2150 E Lake Cook Rd,Riverwalk I,325,Buffalo Grove,Illinois,60089,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,3rd,Yes,Yes,No,No,No,,"1,449","1,449",$25.00,$26.00,NNN,,"5,016","1,449","32,415",$17.75,,,,11-30-2016,,,,,Vacant,,,,Yes,,,,,"271,837",Hamilton Partners,,,
1528,209135,21660 W Field Pkwy,Offices at Deer Park Town Center I,,Deer Park,Illinois,60010,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,1st,Yes,No,Yes,No,Yes,,100,"20,000",,$4.00,Full Service Gross,,"20,000","20,000","20,000",$0.00,,,,7-7-2016,,,,,30 Days,,,,Yes,,,,,"65,022",Deer Park Office Investors LLC,,,
1539,209129,21805 W Field Pky,Bldg 2,130,Deer Park,Illinois,60010,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Raw Space,,1st,No,No,No,No,No,,"3,029","3,029",$25.75,$27.75,N,,"3,029","3,029","11,552",,,,,5-28-2019,,,,10-11-2019,,,,,Yes,,Hamilton Partners,,,"75,213",Hamilton Partners,,,
1546,28573,21925 W Field Pky,Bldg 1,200,Deer Park,Illinois,60010,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,No,No,No,,"1,729","1,729",$26.54,$30.54,Full Service Gross,,"1,729","1,729","3,618",,,,,4-1-2019,,,,,Specific Date,4-1-2020,,,Yes,,Hamilton Partners,,,"91,864",Hamilton Partners,,,
1550,4563,22 W Washington St,22 West Washington,1500,Chicago,Illinois,60602,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,15th,Yes,No,No,No,Yes,,100,"5,000",$42.00,$47.00,Full Service Gross,,"5,000","5,000","20,709",,,,,6-9-2011,,,,,TBD,,,,Yes,,Regus,,,"439,434",CIM Group LP,,,
1553,28581,2201 Waukegan Rd,Bannockburn Lakes IV,140,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,Yes,Yes,No,No,No,,"5,326","5,326",$0.00,$5.00,Full Service Gross,,"5,326","5,326","21,800",$17.00,,,,1-16-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"107,449",GlenStar Properties,,,
1565,28590,2211-2215 S York Rd,Drake Oak Brook Plaza,2211/203,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,760,760,$41.43,$43.43,N,,"10,720",760,"9,348",$21.50,,,,1-31-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"252,000",Fulcrum Asset Advisors,,,
1580,565554,2215 S Michigan Ave,,,Chicago,Illinois,60616,Chicago,South Side,Motor Row,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"7,500","7,500",$43.00,$44.00,Modified Gross,,"7,500","7,500","7,500",,,,,2-13-2019,,,,,Vacant,,,,No,,HMC Realty & Management,,,"32,000",Mark Properties,,,
1582,28592,2215 Sanders Rd,Caremark Tower I,150S,Northbrook,Illinois,60062,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,Yes,No,No,No,,"3,463","3,463",$22.00,$23.00,N,,"3,463","3,463","34,472",$16.00,,,,10-18-2018,,,,,Vacant,,0.0,0.0,Yes,,Saletta Commercial Realty LLC,,,"171,301",Syndicated Equities,,,
1595,530357,222 Indianapolis Blvd,,207,Schererville,Indiana,46375,Chicago,,Northwest Indiana,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,380,380,$29.60,$30.60,Full Service Gross,,,,0,,,,,11-12-2018,,,,,Vacant,,,,No,,EON Properties,,,"30,000",EON Properties,,,
1596,4583,222 Merchandise Mart Plz,Merchandise Mart,,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Mixed-Use,,A,,Existing,Direct,For Lease,,Spec,,2nd,Yes,No,No,No,No,,"94,479","94,479",$40.00,$42.00,Full Service Gross,,"94,479","94,479","94,479",$46.00,,,,10-26-2017,,,,,Specific Date,3-1-2020,,,Yes,,,,,"3,448,680",Vornado Realty Trust,,,
1607,4587,222 S Riverside Plz,222 South Riverside,950,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Raw Space,,9th,Yes,Yes,No,No,Yes,,"5,000","18,227",$0.00,$5.00,Full Service Gross,,"18,227","18,227","36,061",,,,,3-27-2019,,,,,Vacant,,84.0,120.0,Yes,,JLL,,,"1,179,399",Deutsche Asset & Wealth Management,,,
1625,4589,222 W Adams St,222 West Adams,300,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,No,No,No,No,Yes,,"20,444","37,856",$40.50,$42.50,NNN,,"37,856","176,890","36,978",$23.50,,,,8-28-2018,,9-1-2019,,9-1-2019,Specific Date,9-1-2019,,,Yes,,Tishman Speyer,,,"943,433",Tishman Speyer,,,
1647,4610,225 N Michigan Ave,Michigan Plaza,910,Chicago,Illinois,60601,Chicago,CBD,East Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,9th,Yes,Yes,No,No,No,,"1,938","1,938",$31.75,$36.75,N,,"1,938","1,938","39,073",,,,,2-25-2019,,,,,Vacant,,,,Yes,,,,,"969,053",Loeb Partners Realty LLC,,,
1653,140686,225 W Illinois St,225 West Illinois,400,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,Full Build-Out,Trophy,4th,Yes,Yes,No,No,No,,"6,170","6,170",$23.00,$24.00,Full Service Gross,,"6,170","6,170","16,170",,,,,12-11-2018,,,,,Specific Date,1-1-2019,,,Yes,,"RN Realty, LLC",,,"41,150",RN Realty,,,
1657,140687,225 W Ohio St,225 West Ohio,150,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,Partial Build-Out,Needs Renovation,1st,Yes,Yes,No,No,No,,"1,850","1,850",$28.53,$31.53,Modified Gross,,"1,850","1,850","5,438",,,,,6-17-2019,,,,,Vacant,,60.0,120.0,Yes,,Transwestern,,,"48,499",DIP Fund,,,
1660,4613,225 W Wacker Dr,225 Wacker,400,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,4th,No,No,No,No,No,,"4,646","4,646",$23.05,$24.05,N,,"4,646","4,646","13,036",$26.00,,,,4-25-2017,,,,5-3-2019,,,,,Yes,,Hines,,,"647,803",Mirae Asset Global Investment,30.0,30.0,
1671,4623,227 W Monroe St,227 West Monroe,400,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,4th,No,Yes,No,No,No,,"18,683","18,683",$23.00,$27.00,Full Service Gross,,"18,683","18,683","25,720",,,,,3-29-2019,,,,1-1-2020,Vacant,,,,Yes,,Tishman Speyer,,,"1,571,000",Tishman Speyer,,,
1695,28612,2275 Cabot Dr,Corporate Lakes IV,,Lisle,Illinois,60532,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,Yes,Yes,No,No,,"23,594","23,594",$31.07,$34.07,Full Service Gross,,"23,594","94,375",0,$0.00,,,,10-19-2017,,,,,Vacant,,,,Yes,,,,,"94,375",GC Essential Asset REIT,,,
1699,28613,2275 Half Day Rd,Bannockburn Atrium,150,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"3,110","3,110",$27.52,$32.52,Full Service Gross,,"3,110","3,110","19,544",$27.00,,,,9-21-2011,,,,,Vacant,,,,Yes,,,,,"127,300",Wanxiang America Real Estate Corp.,,,
1705,541492,2300 Ramblewood Dr,,E,Highland,Indiana,46322,Chicago,,Northwest Indiana,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,Excellent,1st,Yes,Yes,No,No,No,,"2,125","2,125",$19.75,$23.75,Modified Gross,,"2,125","2,125","2,125",,,,,12-18-2018,,,,,Vacant,,,,No,,Coldwell Banker Cyrus Group,,,"4,996",McFarland Homes,,,
1706,4655,233 S Wacker Dr,Willis Tower,3400,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,34th,No,No,No,No,Yes,,"10,000","32,108",$47.07,$48.07,N,,"32,108","32,108","30,000",$31.50,,,,11-2-2017,,,,10-1-2019,Vacant,,,,Yes,,,,,"3,781,045",Blackstone Group,,,
1741,28629,2333 Waukegan Rd,Bannockburn Lakes I,100,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,Excellent,1st,Yes,No,Yes,No,Yes,,"10,126","36,300",$41.00,$46.00,N,,"36,300","36,300","36,300",$17.50,,,,10-3-2018,,,,,30 Days,,0.0,0.0,Yes,,,,,"108,974",GlenStar Properties,,,
1746,28634,2345 Waukegan Rd,Bannockburn Lakes II,165,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,933,933,$27.97,$28.97,Full Service Gross,,933,933,"36,300",,,,,1-15-2019,,,,,Specific Date,2-1-2019,,,Yes,,,,,"104,214",GlenStar Properties,,,
1751,28640,2355 Waukegan Rd,Bannockburn Lakes III,100,Bannockburn,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"31,361","31,361",$41.50,$44.50,Full Service Gross,,"31,361","103,115",0,$17.50,,,,5-26-2011,,,,4-1-2019,Vacant,,,,Yes,,,,,"106,495",GlenStar Properties,,,
1755,28660,2441 Warrenville Rd,Westwood 2,120,Lisle,Illinois,60532,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,No,No,No,No,No,,"3,343","4,585",$27.85,$28.85,NNN,,"7,928","3,343","25,870",$16.50,,,,6-20-2013,,,,8-17-2019,,,,,Yes,,,,,"148,423",Briar Meads Capital,,,
1763,28661,2443 Warrenville Rd,Westwood 1,130,Lisle,Illinois,60532,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"2,568","2,568",$0.00,$1.00,Full Service Gross,,"2,568","2,568","14,154",,,,,3-13-2019,,,,,Vacant,,,,Yes,,Cushman & Wakefield,,,"148,065",Briar Meads Capital,,,
1779,28667,25 NW Point Blvd,25 NW Point,180,Elk Grove Village,Illinois,60007,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"2,624","2,624",$24.75,$28.75,Full Service Gross,,"2,624","2,624","6,948",$12.00,,,,10-13-2016,,,,,Vacant,,,,Yes,,,,,"207,136",Farbman Group,,,
1796,28670,250 Parkway Dr,250 Parkway,166,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,Yes,No,No,No,,"1,629","1,629",$49.00,$53.00,Full Service Gross,,"1,629","1,629","4,181",,,,,3-19-2019,,,,11-30-2019,Vacant,,,,Yes,,NAI Hiffman,,,"70,000",ECD Company,,,
1802,4709,250 S Wacker Dr,250 South Wacker,,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,2nd,Yes,Yes,No,No,No,,"6,985","6,985",35.97,$38.97,,,"6,985","6,985","10,357",,,,,12-11-2018,,,,,30 Days,,,,Yes,,Cushman & Wakefield,,,"244,961",Credit Suisse,,,
1808,28690,2500 Westfield Dr,Westfield Business Park,201A,Elgin,Illinois,60124,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"15,116","15,116",$0.00,$4.00,Full Service Gross,,"15,116","15,116","15,116",$20.00,,,,11-9-2010,,,,,Vacant,,,,Yes,,,,,"507,903",Adventus Realty Services Inc.,,,
